LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
445;251210230;Starachowice;Kamienna (234);51 02 30;21 03 21;265.0
446;251210240;Brody Iłżeckie;Kamienna (234);51 01 07;21 11 49;190.0
447;251210320;Kazanów;Iłżanka (236);51 16 42;21 28 03;158.0
448;251220040;Radzyń Podlaski;Tyśmienica (248);51 46 09;22 36 03;150.0
449;251230120;Bezek;Wieprz (24);51 10 38;23 15 49;224.0
450;252140150;Maszewo;Odra (1);52 04 11;14 55 08;68.0
451;252140160;Trzcińsko-Zdrój;Rurzyca (1886592);52 57 52;14 35 17;53.0
452;252140210;Boczów;Rzepia (1786);52 19 01;14 56 19;79.0
453;252150050;Krzyż;Noteć (188);52 52 52;15 59 01;34.0
454;252150070;Drezdenko;Noteć (188);52 51 17;15 50 28;31.0
455;252150180;Lubinicko-Świebodzin;Obrzyca (156);52 14 34;15 32 43;88.0
456;252150270;BABIMOST;Gniła Obra (1568);52 08 37;15 48 12;57.0
457;252160050;Ryczywół;Wełna (186);52 48 57;16 50 20;70
458;252160110;Szamotuły-Baborówka;Sama (1872);52 35 04;16 38 17;74.0
459;252160160;Paproć;Obra (1878);52 18 16;16 10 59;77.0
460;252160230;Wielichowo;Obra (1878);52 06 50;16 21 23;65.0
461;252160350;Kopaszewo;Kanał Mosiński (1856);52 00 12;16 49 06;91.0
462;252160370;Wronki;Warta (18);52 41 33;16 22 23;70.0
463;252170060;Janowiec Wielkopolski;Wełna (186);52 45 17;17 27 44;95
464;252170110;Gniezno;Wełna (186);52 33 27;17 31 55;170.0
465;252170180;Września;Wrześnica (1838);52 18 54;17 35 33;105
466;252170190;SŁUPCA;Warta (18);52 16 19;17 53 00;89.0
467;252170210;Kórnik;Warta (18);52 14 43;17 06 07;77.0
468;252170330;Nowa Wieś Podgórna;Warta (18);52 08 32;17 35 21;73.0
469;252170390;Gniezno II;Wełna (186);52 31 25;17 37 49;117.0
470;252170420;Rogowo;Wełna (186);52 43 57;17 38 36;94.0
471;252180060;Pakość;Noteć (188);52 47 58;18 05 33;76.0
472;252180080;Kołuda Wielka;Noteć (188);52 44 09;18 08 56;88.0
473;252180210;Kłodawa;Rgilewka (18332);52 15 03;18 54 57;117
474;252180260;Turek;Kiełbaska (18334);52 00 37;18 29 54;115
475;252180290;Tuliszków ;Powa (18352);52 04 04;18 16 07;111.0
476;252180310;RADOSZEWICE;Noteć (188);52 21 43;18 42 22;110.0
477;252190030;GŁODOWO;Mień (2794);52 49 50;19 14 08;104.0
478;252190120;Żychlin;Bzura (272);52 14 34;19 37 23;97.0
479;252190160;Walewice;Bzura (272);52 06 10;19 39 56;95.0
480;252200080;BORKOWO;Wkra (268);52 33 43;20 39 37;85.0
481;252200120;LEGIONOWO;Wisła (2);52 24 28;20 57 22;94.0
482;252200150;Warszawa-Bielany;Wisła (2);52 16 53;20 57 48;98.0
483;252210020;CZARNOWO;Orz (2656);52 52 55;21 32 06;94.0
484;252210050;PUŁTUSK;Narew (26);52 43 39;21 05 25;95.0
485;252210240;Wielgolas;Wisła (2);52 02 14;21 43 26;150.0
486;252210290;Rybienko;Bug (266);52 34 40;21 25 45;93.0
487;252210330;Rząśnik Włościański;Narew (26);52 50 59;21 43 14;120.0
488;252220050;BRAŃSK;Nurzec (2666);52 44 31;22 49 35;125.0
489;252220120;TONKIELE;Bug (266);52 24 44;22 33 55;115.0
490;252230010;NOWOSADY;Kołonna (2611316);52 58 21;23 52 44;160
491;252230030;BONDARY;Narew (26);52 56 15;23 45 16;147.0
492;252230040;NAREW;Narew (26);52 54 53;23 31 09;139.0
